# ==============================================================================
# ABARROTES1 - MINI NUBE INTERNAL DATABASE (GOOGLE SHEETS COMPATIBLE CSV)
# GENERATED BY ALL 11 AI AGENTS AT: 2026-08-17T07:29:22.416Z
# TENANT: TENANT_CDMX_01 | STORE: Abarrotes Don Pepe (CDMX Centro)
# SOURCE OF TRUTH: Universal Product Database & Wholesale Scrapers CDMX
# ==============================================================================

=== TABLE: CATALOGO_PRODUCTOS_MAESTRO ===
ean,gtin,upc,sku,product_name,normalized_name,brand,category,presentation,package,unit_type,active,last_seen_at
"25582","25582","25582","25582","Alpura Leche Saborizada Alpura Sabor Chocolate 200 Ml","alpura leche saborizada alpura sabor chocolate 200 ml","Alpura","Lácteos y Huevo","Mini Tetra 200 ml","1 pza","pieza","true","2026-08-17T07:11:12.602Z"
"25624","25624","25624","25624","Alpura Leche Alpura Sabor Clásica 200 Ml","alpura leche alpura sabor clásica 200 ml","Alpura","Lácteos y Huevo","Mini Tetra 200 ml","1 pza","pieza","true","2026-08-17T07:11:12.606Z"
"2716","2716","2716","2716","Lala Leche Lala Entera 1 Litro","lala leche lala entera 1 litro","Lala","Lácteos y Huevo","1 Litro Tetrapak/Botella","1 pza","litro","true","2026-08-17T07:11:12.618Z"
"4624","4624","4624","4624","YAKULT Yakult Paquete 3 piezas","yakult yakult paquete 3 piezas","YAKULT","Lácteos y Huevo","1 Pieza","3 pza","pieza","true","2026-08-17T07:11:12.625Z"
"6579","6579","6579","6579","Lala Crema Acida Lala 196 gr","lala crema acida lala 196 gr","Lala","Lácteos y Huevo","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.632Z"
"22206","22206","22206","22206","Lala Yomi Lala Tetra Chocolate 190 Ml","lala yomi lala tetra chocolate 190 ml","Lala","Lácteos y Huevo","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.637Z"
"19782","19782","19782","19782","DANUP Yoghurt Danup Bebible Fresa 220 gr","danup yoghurt danup bebible fresa 220 gr","DANUP","Lácteos y Huevo","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.641Z"
"430","430","430","430","MEDIA CREMA Media Crema Nestlé 225g","media crema media crema nestlé 225g","MEDIA CREMA","Lácteos y Huevo","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.645Z"
"18603","18603","18603","18603","Alpura Yoghurt Batido Alpura Manzana 125 gr","alpura yoghurt batido alpura manzana 125 gr","Alpura","Lácteos y Huevo","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.649Z"
"19789","19789","19789","19789","Alpura Leche Clasica Alpura 1.5 Litros","alpura leche clasica alpura 1.5 litros","Alpura","Lácteos y Huevo","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.659Z"
"2718","2718","2718","2718","Lala Leche Lala Deslactosada 1 Litro","lala leche lala deslactosada 1 litro","Lala","Lácteos y Huevo","1 Litro Tetrapak/Botella","1 pza","litro","true","2026-08-17T07:11:12.663Z"
"3318","3318","3318","3318","Alpura Leche Semidescremada Alpura 1 Litro","alpura leche semidescremada alpura 1 litro","Alpura","Lácteos y Huevo","1 Litro Tetrapak/Botella","1 pza","litro","true","2026-08-17T07:11:12.681Z"
"424","424","424","424","Alpura Leche Saborizada Alpura Sabor Fresa 1 Litro","alpura leche saborizada alpura sabor fresa 1 litro","Alpura","Lácteos y Huevo","1 Litro Tetrapak/Botella","1 pza","litro","true","2026-08-17T07:11:12.689Z"
"12853","12853","12853","12853","PURATOS Crema Puratos Ambiante Batir 1 lt","puratos crema puratos ambiante batir 1 lt","PURATOS","Lácteos y Huevo","1 Litro Tetrapak/Botella","1 pza","litro","true","2026-08-17T07:11:12.694Z"
"6582","6582","6582","6582","Lala Crema Acida Lala 426 gr","lala crema acida lala 426 gr","Lala","Lácteos y Huevo","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.699Z"
"426","426","426","426","Alpura Leche Light Alpura 1 Litro","alpura leche light alpura 1 litro","Alpura","Lácteos y Huevo","1 Litro Tetrapak/Botella","1 pza","litro","true","2026-08-17T07:11:12.707Z"
"24284","24284","24284","24284","Lala Lala Bio Yoghurt 4 100 Gr","lala lala bio yoghurt 4 100 gr","Lala","Lácteos y Huevo","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.728Z"
"646","646","646","646","Maruchan Sopa Instantanea Maruchan Camarón Habanero 64 gr","maruchan sopa instantanea maruchan camarón habanero 64 gr","Maruchan","Abarrotes","Vaso 64g","1 pza","pieza","true","2026-08-17T07:11:12.734Z"
"11849","11849","11849","11849","AZUCAR Azucar Estandar Kg","azucar azucar estandar kg","AZUCAR","Abarrotes","1 kg A granel","1 pza","kilo","true","2026-08-17T07:11:12.741Z"
"530","530","530","530","La Moderna Pasta para Sopa La Moderna Spaguetti 200 Gramos","la moderna pasta para sopa la moderna spaguetti 200 gramos","La Moderna","Abarrotes","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.753Z"
"650","650","650","650","Maruchan Sopa Instantanea Maruchan Pollo 64 Gramos","maruchan sopa instantanea maruchan pollo 64 gramos","Maruchan","Abarrotes","Vaso 64g","1 pza","pieza","true","2026-08-17T07:11:12.761Z"
"20918","20918","20918","20918","Dolores Atún Dolores En Agua 133 gr","dolores atún dolores en agua 133 gr","Dolores","Bebidas","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.773Z"
"605","605","605","605","VALENTINA Salsa Valentina Amarilla 370 ml","valentina salsa valentina amarilla 370 ml","VALENTINA","Abarrotes","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.781Z"
"651","651","651","651","Maruchan Sopa Instantanea Maruchan Res 64 gr","maruchan sopa instantanea maruchan res 64 gr","Maruchan","Abarrotes","Vaso 64g","1 pza","pieza","true","2026-08-17T07:11:12.794Z"
"20917","20917","20917","20917","Dolores Atún Dolores En Aceite 133 gr","dolores atún dolores en aceite 133 gr","Dolores","Abarrotes","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.827Z"
"29565","29565","29565","29565","Gamesa Gamesa Marias 177 gr.","gamesa gamesa marias 177 gr.","Gamesa","Abarrotes","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.836Z"
"14556","14556","14556","14556","CLAVEL Leche Evaporada Carnation Lata 360 gr","clavel leche evaporada carnation lata 360 gr","CLAVEL","Lácteos y Huevo","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.847Z"
"17013","17013","17013","17013","LA FINA Sal de Mesa La Fina 1 Kilogramo","la fina sal de mesa la fina 1 kilogramo","LA FINA","Abarrotes","1 kg Bolsa","1 pza","kilo","true","2026-08-17T07:11:12.864Z"
"34","34","34","34","MCCORMICK Mccormick Mayonesa no. 4 de 105 Gr","mccormick mccormick mayonesa no. 4 de 105 gr","MCCORMICK","Abarrotes","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.874Z"
"2251","2251","2251","2251","ISADORA Frijoles Refritos Bayos Isadora 430 gr","isadora frijoles refritos bayos isadora 430 gr","ISADORA","Abarrotes","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.884Z"
"404","404","404","404","LECHERA Leche Condensada La Lechera Lata 375 Gramos","lechera leche condensada la lechera lata 375 gramos","LECHERA","Lácteos y Huevo","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.902Z"
"3","3","3","3","1-2-3 Aceite Vegetal 123 500 ml","1-2-3 aceite vegetal 123 500 ml","1-2-3","Abarrotes","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.920Z"
"27503","27503","27503","27503","MCCORMICK Mccormick Mayonesa 8 190 gr +20% gratis","mccormick mccormick mayonesa 8 190 gr +20% gratis","MCCORMICK","Abarrotes","Barra 90g","1 pza","pieza","true","2026-08-17T07:11:12.930Z"
"11827","11827","11827","11827","NESCAFE Café Soluble Nescafé Clásico Bolsa 28g","nescafe café soluble nescafé clásico bolsa 28g","NESCAFE","Abarrotes","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.952Z"
"35","35","35","35","MCCORMICK Mc cormick mayonesa no. 8 190gr","mccormick mc cormick mayonesa no. 8 190gr","MCCORMICK","Abarrotes","Barra 90g","1 pza","pieza","true","2026-08-17T07:11:12.966Z"
"205","205","205","205","La Costeña Frijoles Enteros Negros La Costeña 560 gr","la costeña frijoles enteros negros la costeña 560 gr","La Costeña","Abarrotes","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.983Z"
"6362","6362","6362","6362","BOTANERA La Botanera Salsa Amarilla 354 ml","botanera la botanera salsa amarilla 354 ml","BOTANERA","Abarrotes","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:12.993Z"
"612","612","612","612","ARROZ Arroz Tp Sinaloa a Granel 1Kg","arroz arroz tp sinaloa a granel 1kg","ARROZ","Abarrotes","1 kg Bolsa","1 pza","kilo","true","2026-08-17T07:11:13.002Z"
"18588","18588","18588","18588","DORADO Atún El Dorado En Agua 130 gr","dorado atún el dorado en agua 130 gr","DORADO","Bebidas","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.013Z"
"206","206","206","206","La Costeña Frijoles Refritos Bayos La Costeña 580 gr","la costeña frijoles refritos bayos la costeña 580 gr","La Costeña","Abarrotes","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.023Z"
"13052","13052","13052","13052","Gamesa Galletas Marias Gamesa Azucaradas 150 gr","gamesa galletas marias gamesa azucaradas 150 gr","Gamesa","Abarrotes","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.034Z"
"45","45","45","45","BONAFONT Agua Natural Bonafont Botella 1.5 Litros","bonafont agua natural bonafont botella 1.5 litros","BONAFONT","Bebidas","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.044Z"
"44","44","44","44","BONAFONT Agua Natural Bonafont Botella 1 Litro","bonafont agua natural bonafont botella 1 litro","BONAFONT","Bebidas","1 Litro Tetrapak/Botella","1 pza","litro","true","2026-08-17T07:11:13.054Z"
"13150","13150","13150","13150","BOING Jugo Boing Sabor Mango 500 ml","boing jugo boing sabor mango 500 ml","BOING","Bebidas","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.066Z"
"26880","26880","26880","26880","CIEL Ciel Agua Natural 1.38 lt","ciel ciel agua natural 1.38 lt","CIEL","Bebidas","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.078Z"
"560","560","560","560","Coca-Cola Refresco Coca Cola 600 ml","coca-cola refresco coca cola 600 ml","Coca-Cola","Bebidas","600 ml Pet","1 pza","pieza","true","2026-08-17T07:11:13.097Z"
"22509","22509","22509","22509","VOLT Volt Blue Regular 473 ml","volt volt blue regular 473 ml","VOLT","Bebidas","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.127Z"
"21828","21828","21828","21828","ELECTROLIT Electrolit Suero Rehidratante Mora Azul 625 ml","electrolit electrolit suero rehidratante mora azul 625 ml","ELECTROLIT","Bebidas","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.142Z"
"21829","21829","21829","21829","ELECTROLIT Electrolit Suero Rehidratante Fresa-Kiwi 625 ml","electrolit electrolit suero rehidratante fresa-kiwi 625 ml","ELECTROLIT","Bebidas","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.155Z"
"27852","27852","27852","27852","NIAGARA Niagara Agua Purificada 500 ml","niagara niagara agua purificada 500 ml","NIAGARA","Bebidas","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.169Z"
"13141","13141","13141","13141","BOING Jugo Boing Sabor Manzana 250 ml","boing jugo boing sabor manzana 250 ml","BOING","Bebidas","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.246Z"
"22510","22510","22510","22510","VOLT Volt Yellow Regular 473 ml","volt volt yellow regular 473 ml","VOLT","Bebidas","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.313Z"
"6065","6065","6065","6065","SANGRIA Refresco Sangria Senorial 600 ml","sangria refresco sangria senorial 600 ml","SANGRIA","Bebidas","600 ml Pet","1 pza","pieza","true","2026-08-17T07:11:13.328Z"
"27792","27792","27792","27792","NIAGARA Niagara Agua Embotellada 1 lt","niagara niagara agua embotellada 1 lt","NIAGARA","Bebidas","1 Litro Tetrapak/Botella","1 pza","litro","true","2026-08-17T07:11:13.340Z"
"16106","16106","16106","16106","PEÑAFIEL ,Peñafiel Agua Mineral de 600 Ml","peñafiel ,peñafiel agua mineral de 600 ml","PEÑAFIEL","Bebidas","600 ml Pet","1 pza","pieza","true","2026-08-17T07:11:13.364Z"
"23546","23546","23546","23546","AMPER Amper Reg Bebida Energetica 473 ml","amper amper reg bebida energetica 473 ml","AMPER","Bebidas","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.377Z"
"13157","13157","13157","13157","BOING Jugo Boing Sabor Guayaba 1 Litro","boing jugo boing sabor guayaba 1 litro","BOING","Bebidas","1 Litro Tetrapak/Botella","1 pza","litro","true","2026-08-17T07:11:13.395Z"
"26132","26132","26132","26132","ELECTROLIFE Electrolife Zero Fresa-Kiwi 625 ml","electrolife electrolife zero fresa-kiwi 625 ml","ELECTROLIFE","Bebidas","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.419Z"
"1287","1287","1287","1287","FAROLITO Veladora Farolito 5","farolito veladora farolito 5","FAROLITO","Limpieza","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.451Z"
"1073","1073","1073","1073","PETALO Petalo Servilleta Con 100 pz","petalo petalo servilleta con 100 pz","PETALO","Limpieza","1 Pieza","100 pza","pieza","true","2026-08-17T07:11:13.467Z"
"1101","1101","1101","1101","La Corona Roma detergente multiusos 250 gr","la corona roma detergente multiusos 250 gr","La Corona","Limpieza del Hogar","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.481Z"
"1100","1100","1100","1100","La Corona Roma detergente multiusos 500 gr","la corona roma detergente multiusos 500 gr","La Corona","Limpieza del Hogar","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.498Z"
"1098","1098","1098","1098","La Corona Roma detergente multiusos 1 kg","la corona roma detergente multiusos 1 kg","La Corona","Limpieza del Hogar","1 kg Bolsa","1 pza","kilo","true","2026-08-17T07:11:13.513Z"
"20711","20711","20711","20711","VOGUE Higiénico Vogue 600 Hojas","vogue higiénico vogue 600 hojas","VOGUE","Limpieza","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.527Z"
"1023","1023","1023","1023","JAGUAR Vaso Plástico Jaguar #8 Irrompible Bolsa con 50 Piezas","jaguar vaso plástico jaguar #8 irrompible bolsa con 50 piezas","JAGUAR","Bebidas","1 Pieza","50 pza","pieza","true","2026-08-17T07:11:13.542Z"
"19145","19145","19145","19145","CLORALEX Cloralex Blanqueador 950 ml","cloralex cloralex blanqueador 950 ml","CLORALEX","Limpieza","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.557Z"
"9446","9446","9446","9446","BIG QUALITY Papel Higiénico Big Qlty 600 Hojas 6 Rollos","big quality papel higiénico big qlty 600 hojas 6 rollos","BIG QUALITY","Limpieza","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.574Z"
"19555","19555","19555","19555","PETALO Papel Higiénico Petalo 300 Hojas 4 Rollos","petalo papel higiénico petalo 300 hojas 4 rollos","PETALO","Limpieza","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.595Z"
"1205","1205","1205","1205","FABULOSO Fabuloso Limpiador Multiusos Lavanda 1 lt","fabuloso fabuloso limpiador multiusos lavanda 1 lt","FABULOSO","Limpieza","1 Litro Tetrapak/Botella","1 pza","litro","true","2026-08-17T07:11:13.613Z"
"25691","25691","25691","25691","BIG QUALITY Papel Higiénico Big Quality 550 Hd 5 pz","big quality papel higiénico big quality 550 hd 5 pz","BIG QUALITY","Limpieza","1 Pieza","5 pza","pieza","true","2026-08-17T07:11:13.630Z"
"23333","23333","23333","23333","PETALO Servilletas Petalo 100 pz + 25 pz Gratis","petalo servilletas petalo 100 pz + 25 pz gratis","PETALO","Limpieza","1 Pieza","100 pza","pieza","true","2026-08-17T07:11:13.646Z"
"5900","5900","5900","5900","LUZ ETERNA Veladora Luz Eterna Vaso Limon Fama","luz eterna veladora luz eterna vaso limon fama","LUZ ETERNA","Limpieza","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.664Z"
"25633","25633","25633","25633","PINOL Pinol Limpiador Multiusos 1 Lt","pinol pinol limpiador multiusos 1 lt","PINOL","Limpieza","1 Litro Tetrapak/Botella","1 pza","litro","true","2026-08-17T07:11:13.688Z"
"1183","1183","1183","1183","La Corona Jabón Zote Rosa Barra de 400 gr","la corona jabón zote rosa barra de 400 gr","La Corona","Limpieza","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.711Z"
"1041","1041","1041","1041","VOGUE Papel Higiénico Vogue 400 Hojas 4 Rollos","vogue papel higiénico vogue 400 hojas 4 rollos","VOGUE","Limpieza","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.729Z"
"26745","26745","26745","26745","SUAVITEL Suavitel Complete Fresca Primavera 700 ml","suavitel suavitel complete fresca primavera 700 ml","SUAVITEL","Limpieza","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.747Z"
"1084","1084","1084","1084","CLORALEX Cloralex Blanqueador 500 ml","cloralex cloralex blanqueador 500 ml","CLORALEX","Limpieza","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.772Z"
"1209","1209","1209","1209","FABULOSO Fabuloso Limpiador Multiusos Frescura 1 lt","fabuloso fabuloso limpiador multiusos frescura 1 lt","FABULOSO","Limpieza","1 Litro Tetrapak/Botella","1 pza","litro","true","2026-08-17T07:11:13.819Z"
"27098","27098","27098","27098","REGIO Regio Rinde Mas 400 Hojas 4 Pz","regio regio rinde mas 400 hojas 4 pz","REGIO","Limpieza","1 Pieza","4 pza","pieza","true","2026-08-17T07:11:13.838Z"
"23557","23557","23557","23557","DOWNY Downy Le Floral 360 ml","downy downy le floral 360 ml","DOWNY","Limpieza","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.885Z"
"21071","21071","21071","21071","JAGUAR Charola Termica Jaguar No. 855 50 Piezas","jaguar charola termica jaguar no. 855 50 piezas","JAGUAR","Bebidas","1 Pieza","50 pza","pieza","true","2026-08-17T07:11:13.903Z"
"1202","1202","1202","1202","FABULOSO Fabuloso Limpiador Multiusos Naranja de 1 lt","fabuloso fabuloso limpiador multiusos naranja de 1 lt","FABULOSO","Limpieza","1 Litro Tetrapak/Botella","1 pza","litro","true","2026-08-17T07:11:13.935Z"
"27605","27605","27605","27605","CLOROX Clorox Blanq 1.16 ml","clorox clorox blanq 1.16 ml","CLOROX","Limpieza del Hogar","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.953Z"
"12788","12788","12788","12788","SALVO Lavatrastes Salvo Líquido Limon Botella 300 ml","salvo lavatrastes salvo líquido limon botella 300 ml","SALVO","Limpieza","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.971Z"
"1816","1816","1816","1816","La Corona Jabón Zote Rosa En Barra 100 gr","la corona jabón zote rosa en barra 100 gr","La Corona","Limpieza","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:13.992Z"
"12623","12623","12623","12623","San Juan Veladora San Juan Limonero Fino","san juan veladora san juan limonero fino","San Juan","Limpieza","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:14.011Z"
"2329","2329","2329","2329","ARAMO Veladora Aramo Refaccion # 5","aramo veladora aramo refaccion # 5","ARAMO","Limpieza","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:14.029Z"
"11129","11129","11129","11129","La Corona Suavitel Aroma de Sol Cuidado Sup. 450 ml","la corona suavitel aroma de sol cuidado sup. 450 ml","La Corona","Limpieza del Hogar","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:14.050Z"
"11140","11140","11140","11140","FABULOSO Fabuloso Limpiador Multiusos Cloro 1 lt","fabuloso fabuloso limpiador multiusos cloro 1 lt","FABULOSO","Limpieza del Hogar","1 Litro Tetrapak/Botella","1 pza","litro","true","2026-08-17T07:11:14.069Z"
"7501017381623","7501017381623","7501017381623","7501017381623C","Kimberly-Clark Caja toalla Interdoblada 24x21cm Sanitas 100H/20P HJS 92231 - SCG","kimberly-clark caja toalla interdoblada 24x21cm sanitas 100h/20p hjs 92231 - scg","Kimberly-Clark","Limpieza del Hogar","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:15.411Z"
"0661440000052","0661440000052","0661440000052","0661440000052C","Zulka Paquete Azucar Empacada 2K/10P - SCG","zulka paquete azucar empacada 2k/10p - scg","Zulka","2 kg en 10 bolsa","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:15.494Z"
"0041789001925","0041789001925","0041789001925","0041789001925C","Maruchan Caja Sopa Maruchan sabor a carne de res 12P/64G - SCG","maruchan caja sopa maruchan sabor a carne de res 12p/64g - scg","Maruchan","12 piezas de 64 grs.","Caja con 12x 64g","12 pza","caja c/12","true","2026-08-17T07:11:15.539Z"
"7501018310103","7501018310103","7501018310103","7501018310103C","La Moderna Caja Spaghetti 20P/200G - SCG","la moderna caja spaghetti 20p/200g - scg","La Moderna","20 piezas de 200 grs","1 Pieza","20 pza","pieza","true","2026-08-17T07:11:15.559Z"
"0041789001987","0041789001987","0041789001987","0041789001987C","Maruchan Caja Maruchan con sabor a camarón con chile piquín 12p/64g - SCG","maruchan caja maruchan con sabor a camarón con chile piquín 12p/64g - scg","Maruchan","12 piezas de 64 grs","Caja con 12x 64g","12 pza","caja c/12","true","2026-08-17T07:11:15.583Z"
"17501943485898","17501943485898","17501943485898","17501943485898C","Kimberly-Clark Caja Toalla para Manos en Rollo 180M/6R - SCG","kimberly-clark caja toalla para manos en rollo 180m/6r - scg","Kimberly-Clark","Limpieza del Hogar","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:15.607Z"
"75000615C","UNKNOWN","UNKNOWN","75000615C","Alen Caja limpiador Cloralex 950m/12b - SCG","alen caja limpiador cloralex 950m/12b - scg","Alen","950 ml. con 12 botellas","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:15.629Z"
"000075232","UNKNOWN","UNKNOWN","000075232","Colgate Palmolive Limpiador Fabuloso lavanda 10L - ZK","colgate palmolive limpiador fabuloso lavanda 10l - zk","Colgate Palmolive","10 litros","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:15.656Z"
"7501050410557","7501050410557","7501050410557","7501050410557C","Fabrica de Papel San Francisco Paquete Higiénico Big Quality 8P/6R/600H - SCG","fabrica de papel san francisco paquete higiénico big quality 8p/6r/600h - scg","Fabrica de Papel San Francisco","8 paquetes con 6 rollos de 600 Hojas","1 Pieza","8 pza","pieza","true","2026-08-17T07:11:15.681Z"
"75002343C","UNKNOWN","UNKNOWN","75002343C","La Corona Caja aceite 1-2-3 1L/12B - SCG","la corona caja aceite 1-2-3 1l/12b - scg","La Corona","1 litro en 12 botellas","1 Litro Tetrapak/Botella","1 pza","litro","true","2026-08-17T07:11:15.707Z"
"7501017364695","7501017364695","7501017364695","7501017364695C","Kimberly-Clark Colchón Papel Higiénico LYS 195H/4R/24P - SCG","kimberly-clark colchón papel higiénico lys 195h/4r/24p - scg","Kimberly-Clark","195 Hojas en 4 rollos con 24 paquetes","1 Pieza","1 pza","pieza","true","2026-08-17T07:11:15.729Z"
"7501035910034","7501035910034","7501035910034","7501035910034C","Colgate Caja Fabuloso Lavanda 1L/12B - SCG","colgate caja fabuloso lavanda 1l/12b - scg","Colgate","1 Lt con 12 botellas","1 Litro Tetrapak/Botella","1 pza","litro","true","2026-08-17T07:11:15.779Z"
"7501943412217","7501943412217","7501943412217","7501943412217C","Kimberly-Clark Paquete papel higiénico Petalo 300h/10p/4r -SCG","kimberly-clark paquete papel higiénico petalo 300h/10p/4r -scg","Kimberly-Clark","300 Hojas con 10 paquetes de 4 rollos","1 Pieza","10 pza","pieza","true","2026-08-17T07:11:15.803Z"
"251281C","UNKNOWN","UNKNOWN","251281C","MayoreoTotal ARROZ PRIMA 1/25 KG GRANEL - SCG","mayoreototal arroz prima 1/25 kg granel - scg","MayoreoTotal","25 kilos","1 kg A granel","1 pza","kilo","true","2026-08-17T07:11:15.826Z"
